   integer_node_x          Max_Ne          Max_Ni          Max_Te     half_node_x      Max_E(id2)       Max_J0/mA
   0.9240000E-01  0.8790937E+11  0.8571476E+11  0.2634352E+01  0.9300000E-01  0.1158917E+04  0.2302501E+02
   0.9360000E-01  0.8852008E+11  0.8643879E+11  0.2631359E+01  0.9420000E-01  0.1154184E+04  0.2302501E+02
   0.9480000E-01  0.8910162E+11  0.8713602E+11  0.2628512E+01  0.9540000E-01  0.1149703E+04  0.2302501E+02
   0.9600000E-01  0.8965351E+11  0.8780557E+11  0.2625811E+01  0.9660000E-01  0.1145477E+04  0.2302501E+02
   0.9720000E-01  0.9017529E+11  0.8844663E+11  0.2623260E+01  0.9780000E-01  0.1141510E+04  0.2302501E+02
   0.9840000E-01  0.9066653E+11  0.8905848E+11  0.2620862E+01  0.9900000E-01  0.1137804E+04  0.2302501E+02
   0.9960000E-01  0.9112682E+11  0.8964048E+11  0.2618618E+01  0.1002000E+00  0.1134363E+04  0.2302501E+02
   0.1008000E+00  0.9155577E+11  0.9019204E+11  0.2616529E+01  0.1014000E+00  0.1131187E+04  0.2302501E+02
   0.1020000E+00  0.9195301E+11  0.9071264E+11  0.2614596E+01  0.1026000E+00  0.1128279E+04  0.2302501E+02
   0.1032000E+00  0.9231820E+11  0.9120181E+11  0.2612822E+01  0.1038000E+00  0.1125640E+04  0.2302501E+02
   0.1044000E+00  0.9265100E+11  0.9165913E+11  0.2611207E+01  0.1050000E+00  0.1123271E+04  0.2302501E+02
   0.1056000E+00  0.9295111E+11  0.9208422E+11  0.2609751E+01  0.1062000E+00  0.1121174E+04  0.2302501E+02
   0.1068000E+00  0.9321824E+11  0.9247674E+11  0.2608456E+01  0.1074000E+00  0.1119348E+04  0.2302501E+02
   0.1080000E+00  0.9345212E+11  0.9283639E+11  0.2607322E+01  0.1086000E+00  0.1117795E+04  0.2302501E+02
   0.1092000E+00  0.9365249E+11  0.9316288E+11  0.2606350E+01  0.1098000E+00  0.1116516E+04  0.2302501E+02
   0.1104000E+00  0.9381912E+11  0.9345598E+11  0.2605540E+01  0.1110000E+00  0.1115511E+04  0.2302501E+02
   0.1116000E+00  0.9395179E+11  0.9371547E+11  0.2604892E+01  0.1122000E+00  0.1114782E+04  0.2302501E+02
   0.1128000E+00  0.9405032E+11  0.9394116E+11  0.2604408E+01  0.1134000E+00  0.1114328E+04  0.2302501E+02
   0.1140000E+00  0.9411452E+11  0.9413288E+11  0.2604086E+01  0.1146000E+00  0.1114151E+04  0.2302501E+02
   0.1152000E+00  0.9414425E+11  0.9429049E+11  0.2603928E+01  0.1158000E+00  0.1114251E+04  0.2302501E+02
   0.1164000E+00  0.9413937E+11  0.9441389E+11  0.2603934E+01  0.1170000E+00  0.1114630E+04  0.2302501E+02
   0.1176000E+00  0.9409978E+11  0.9450299E+11  0.2604104E+01  0.1182000E+00  0.1115288E+04  0.2302501E+02
   0.1188000E+00  0.9402539E+11  0.9455772E+11  0.2604438E+01  0.1194000E+00  0.1116226E+04  0.2302501E+02
   0.1200000E+00  0.9391616E+11  0.9457805E+11  0.2604936E+01  0.1206000E+00  0.1117445E+04  0.2302501E+02
   0.1212000E+00  0.9377206E+11  0.9456397E+11  0.2605599E+01  0.1218000E+00  0.1118946E+04  0.2302501E+02
   0.1224000E+00  0.9359308E+11  0.9451550E+11  0.2606426E+01  0.1230000E+00  0.1120730E+04  0.2302501E+02
   0.1236000E+00  0.9337926E+11  0.9443267E+11  0.2607417E+01  0.1242000E+00  0.1122798E+04  0.2302501E+02
   0.1248000E+00  0.9313065E+11  0.9431555E+11  0.2608574E+01  0.1254000E+00  0.1125152E+04  0.2302501E+02
   0.1260000E+00  0.9284736E+11  0.9416423E+11  0.2609894E+01  0.1266000E+00  0.1127792E+04  0.2302501E+02
   0.1272000E+00  0.9252952E+11  0.9397884E+11  0.2611379E+01  0.1278000E+00  0.1130719E+04  0.2302501E+02
